#FamilyID	pvalue	Significant at 0.05
N0.HOG0001329	0.643	n
N0.HOG0001331	0.386	n
N0.HOG0001334	0.648	n
N0.HOG0001345	0	y
N0.HOG0001349	0.68	n
N0.HOG0001350	0.836	n
N0.HOG0001352	0.7	n
N0.HOG0001353	0.986	n
N0.HOG0001355	0.68	n
N0.HOG0001356	0.867	n
N0.HOG0001358	0.589	n
N0.HOG0001359	0.837	n
N0.HOG0001360	0.693	n
N0.HOG0001362	0.713	n
N0.HOG0001367	0.899	n
N0.HOG0001368	0.635	n
N0.HOG0001369	0.792	n
N0.HOG0001372	0.708	n
N0.HOG0001373	0.911	n
N0.HOG0001374	0.638	n
N0.HOG0001375	0.708	n
N0.HOG0001376	0.852	n
N0.HOG0001378	0.717	n
N0.HOG0001380	0.853	n
N0.HOG0001381	0.862	n
N0.HOG0001384	0.885	n
N0.HOG0001385	0.747	n
N0.HOG0001386	0.906	n
N0.HOG0001387	0.675	n
N0.HOG0001388	0.819	n
N0.HOG0001389	0.693	n
N0.HOG0001391	0.903	n
N0.HOG0001393	0.917	n
N0.HOG0001394	0.934	n
N0.HOG0001395	0.643	n
N0.HOG0001396	0.293	n
N0.HOG0001399	0.884	n
N0.HOG0001400	0.84	n
N0.HOG0001401	0.869	n
N0.HOG0001404	0.708	n
N0.HOG0001405	0.87	n
N0.HOG0001408	0	y
N0.HOG0001410	0.951	n
N0.HOG0001411	0.061	n
N0.HOG0001412	0.648	n
N0.HOG0001413	0.145	n
N0.HOG0001414	0.921	n
N0.HOG0001415	0.834	n
N0.HOG0001416	0.948	n
N0.HOG0001417	0.82	n
N0.HOG0001418	0.782	n
N0.HOG0001419	0.686	n
N0.HOG0001420	0.96	n
N0.HOG0001423	0.462	n
N0.HOG0001424	0.172	n
N0.HOG0001425	0.696	n
N0.HOG0001426	0.732	n
N0.HOG0001429	0.524	n
N0.HOG0001452	0.697	n
N0.HOG0001453	0.86	n
N0.HOG0001454	0.582	n
N0.HOG0001458	0.903	n
N0.HOG0001459	0.821	n
N0.HOG0001460	0.683	n
N0.HOG0001461	0.81	n
N0.HOG0001463	0.004	y
N0.HOG0001464	0.831	n
N0.HOG0001465	0.809	n
N0.HOG0001466	0.83	n
N0.HOG0001467	0.63	n
N0.HOG0001468	0.388	n
N0.HOG0001469	0.778	n
N0.HOG0001471	0.93	n
N0.HOG0001472	0.433	n
N0.HOG0001473	0.923	n
N0.HOG0001475	0.883	n
N0.HOG0001476	0.747	n
N0.HOG0001477	0.826	n
N0.HOG0001478	0.837	n
N0.HOG0001480	0.094	n
N0.HOG0001481	0.957	n
N0.HOG0001482	0.825	n
N0.HOG0001484	0.773	n
N0.HOG0001485	0.837	n
N0.HOG0001486	0.773	n
N0.HOG0001487	0.868	n
N0.HOG0001488	0.296	n
N0.HOG0001489	0.344	n
N0.HOG0001490	0.746	n
N0.HOG0001491	0.626	n
N0.HOG0001493	0.96	n
N0.HOG0001495	0.573	n
N0.HOG0001497	0.236	n
N0.HOG0001498	0.599	n
N0.HOG0001499	0.339	n
N0.HOG0001501	0.833	n
N0.HOG0001502	0.772	n
N0.HOG0001504	0.833	n
N0.HOG0001505	0.901	n
N0.HOG0001506	0.331	n
N0.HOG0001507	0.77	n
N0.HOG0001508	0.794	n
N0.HOG0001510	0.297	n
N0.HOG0001528	0.002	y
N0.HOG0001530	0.829	n
N0.HOG0001533	0.809	n
N0.HOG0001536	0.827	n
N0.HOG0001542	0.673	n
N0.HOG0001543	0.696	n
N0.HOG0001544	0.903	n
N0.HOG0001545	0.002	y
N0.HOG0001546	0.948	n
N0.HOG0001547	0.7	n
N0.HOG0001548	0.742	n
N0.HOG0001549	0.933	n
N0.HOG0001550	0.837	n
N0.HOG0001551	0.68	n
N0.HOG0001552	0.094	n
N0.HOG0001553	0.917	n
N0.HOG0001554	0.809	n
N0.HOG0001555	0.969	n
N0.HOG0001558	0.686	n
N0.HOG0001559	0.708	n
N0.HOG0001563	0	y
N0.HOG0001564	0.918	n
N0.HOG0001565	0.576	n
N0.HOG0001566	0.783	n
N0.HOG0001567	0.696	n
N0.HOG0001568	0.664	n
N0.HOG0001569	0.551	n
N0.HOG0001570	0.684	n
N0.HOG0001571	0.903	n
N0.HOG0001573	0.304	n
N0.HOG0001574	0.619	n
N0.HOG0001575	0.207	n
N0.HOG0001576	0.819	n
N0.HOG0001577	0.863	n
N0.HOG0001578	0.816	n
N0.HOG0001579	0.722	n
N0.HOG0001580	0.739	n
N0.HOG0001581	0.999	n
N0.HOG0001582	0.68	n
N0.HOG0001583	0.873	n
N0.HOG0001584	0.301	n
N0.HOG0001585	0.896	n
N0.HOG0001586	0.795	n
N0.HOG0001587	0.583	n
N0.HOG0001588	0.932	n
N0.HOG0001589	0.521	n
N0.HOG0001592	0.388	n
N0.HOG0001593	0.815	n
N0.HOG0001594	0.681	n
N0.HOG0001595	0.884	n
N0.HOG0001597	0.769	n
N0.HOG0001598	0.582	n
N0.HOG0001599	0.842	n
N0.HOG0001600	0.997	n
N0.HOG0001601	0.848	n
N0.HOG0001603	0.772	n
N0.HOG0001605	0.998	n
N0.HOG0001606	0.427	n
N0.HOG0001607	0.704	n
N0.HOG0001608	0.899	n
N0.HOG0001609	0.831	n
N0.HOG0001611	0.922	n
N0.HOG0001612	0.818	n
N0.HOG0001619	0.007	y
N0.HOG0001633	0.959	n
N0.HOG0001634	0.529	n
N0.HOG0001636	0.65	n
N0.HOG0001640	0.694	n
N0.HOG0001641	0.732	n
N0.HOG0001642	0.365	n
N0.HOG0001643	0.687	n
